district,relative_month,Z,complaints_1000,n_officers
4D,-210,Control,14.184397163120567,141
4D,-210,Officer Assigned BWC,42.5531914893617,141
4D,-180,Control,28.368794326241133,141
4D,-180,Officer Assigned BWC,63.82978723404255,141
4D,-150,Control,28.368794326241133,141
4D,-150,Officer Assigned BWC,28.368794326241133,141
4D,-120,Control,21.27659574468085,141
4D,-120,Officer Assigned BWC,14.184397163120567,141
4D,-90,Control,42.5531914893617,141
4D,-90,Officer Assigned BWC,14.184397163120567,141
4D,-60,Control,28.368794326241133,141
4D,-60,Officer Assigned BWC,14.184397163120567,141
4D,-30,Control,56.737588652482266,141
4D,-30,Officer Assigned BWC,56.737588652482266,141
4D,0,Control,7.092198581560283,141
4D,0,Officer Assigned BWC,14.184397163120567,141
4D,30,Control,21.27659574468085,141
4D,30,Officer Assigned BWC,42.5531914893617,141
4D,60,Control,14.184397163120567,141
4D,60,Officer Assigned BWC,42.5531914893617,141
4D,90,Control,28.368794326241133,141
4D,90,Officer Assigned BWC,49.64539007092199,141
4D,120,Control,35.46099290780142,141
4D,120,Officer Assigned BWC,14.184397163120567,141
4D,150,Control,14.184397163120567,141
4D,150,Officer Assigned BWC,21.27659574468085,141
4D,180,Control,7.092198581560283,141
4D,180,Officer Assigned BWC,21.27659574468085,141
4D,210,Control,35.46099290780142,141
4D,210,Officer Assigned BWC,63.82978723404255,141
5D,-390,Control,0,79
5D,-390,Officer Assigned BWC,6.024096385542185,166
5D,-360,Control,37.97468354430387,79
5D,-360,Officer Assigned BWC,36.144578313253106,166
5D,-330,Control,63.29113924050646,79
5D,-330,Officer Assigned BWC,48.19277108433748,166
5D,-300,Control,0,79
5D,-300,Officer Assigned BWC,60.24096385542184,166
5D,-270,Control,37.97468354430387,79
5D,-270,Officer Assigned BWC,18.072289156626553,166
5D,-240,Control,12.658227848101294,79
5D,-240,Officer Assigned BWC,0,166
5D,-210,Control,37.97468354430387,79
5D,-210,Officer Assigned BWC,78.3132530120484,166
5D,-180,Control,12.658227848101294,79
5D,-180,Officer Assigned BWC,66.26506024096403,166
5D,-150,Control,25.31645569620259,79
5D,-150,Officer Assigned BWC,18.072289156626553,166
5D,-120,Control,25.31645569620259,79
5D,-120,Officer Assigned BWC,30.12048192771092,166
5D,-90,Control,37.97468354430387,79
5D,-90,Officer Assigned BWC,48.19277108433748,166
5D,-60,Control,12.658227848101294,79
5D,-60,Officer Assigned BWC,12.04819277108437,166
5D,-30,Control,25.31645569620259,79
5D,-30,Officer Assigned BWC,24.09638554216874,166
5D,0,Control,37.97468354430387,79
5D,0,Officer Assigned BWC,18.072289156626553,166
5D,30,Control,37.97468354430387,79
5D,30,Officer Assigned BWC,24.09638554216874,166
5D,60,Control,25.31645569620259,79
5D,60,Officer Assigned BWC,24.09638554216874,166
5D,90,Control,37.97468354430387,79
5D,90,Officer Assigned BWC,12.04819277108437,166
5D,120,Control,50.63291139240518,79
5D,120,Officer Assigned BWC,84.33734939759057,166
5D,150,Control,12.658227848101294,79
5D,150,Officer Assigned BWC,24.09638554216874,166
5D,180,Control,12.658227848101294,79
5D,180,Officer Assigned BWC,30.12048192771092,166
5D,210,Control,12.658227848101294,79
5D,210,Officer Assigned BWC,24.09638554216874,166
5D,240,Control,12.658227848101294,79
5D,240,Officer Assigned BWC,18.072289156626553,166
5D,270,Control,12.658227848101294,79
5D,270,Officer Assigned BWC,36.144578313253106,166
5D,300,Control,25.31645569620259,79
5D,300,Officer Assigned BWC,18.072289156626553,166
5D,330,Control,50.63291139240518,79
5D,330,Officer Assigned BWC,24.09638554216874,166
5D,360,Control,25.31645569620259,79
5D,360,Officer Assigned BWC,90.36144578313277,166
5D,390,Control,12.658227848101294,79
5D,390,Officer Assigned BWC,24.09638554216874,166
5D,420,Control,50.63291139240518,79
5D,420,Officer Assigned BWC,24.09638554216874,166
5D,450,Control,0,79
5D,450,Officer Assigned BWC,30.12048192771092,166
5D,480,Control,25.31645569620259,79
5D,480,Officer Assigned BWC,36.144578313253106,166
5D,510,Control,0,79
5D,510,Officer Assigned BWC,72.28915662650621,166
6D,-660,Control,19.607843137254886,153
6D,-660,Officer Assigned BWC,19.736842105263165,152
6D,-630,Control,6.535947712418295,153
6D,-630,Officer Assigned BWC,0,152
6D,-600,Control,26.14379084967318,153
6D,-600,Officer Assigned BWC,26.315789473684223,152
6D,-570,Control,13.07189542483659,153
6D,-570,Officer Assigned BWC,26.315789473684223,152
6D,-540,Control,32.67973856209147,153
6D,-540,Officer Assigned BWC,26.315789473684223,152
6D,-510,Control,19.607843137254886,153
6D,-510,Officer Assigned BWC,19.736842105263165,152
6D,-480,Control,45.75163398692807,153
6D,-480,Officer Assigned BWC,6.578947368421056,152
6D,-450,Control,19.607843137254886,153
6D,-450,Officer Assigned BWC,26.315789473684223,152
6D,-420,Control,26.14379084967318,153
6D,-420,Officer Assigned BWC,59.2105263157895,152
6D,-390,Control,39.21568627450977,153
6D,-390,Officer Assigned BWC,19.736842105263165,152
6D,-360,Control,45.75163398692807,153
6D,-360,Officer Assigned BWC,19.736842105263165,152
6D,-330,Control,26.14379084967318,153
6D,-330,Officer Assigned BWC,32.89473684210528,152
6D,-300,Control,13.07189542483659,153
6D,-300,Officer Assigned BWC,13.157894736842112,152
6D,-270,Control,52.28758169934636,153
6D,-270,Officer Assigned BWC,26.315789473684223,152
6D,-240,Control,58.823529411764646,153
6D,-240,Officer Assigned BWC,6.578947368421056,152
6D,-210,Control,13.07189542483659,153
6D,-210,Officer Assigned BWC,6.578947368421056,152
6D,-180,Control,32.67973856209147,153
6D,-180,Officer Assigned BWC,32.89473684210528,152
6D,-150,Control,6.535947712418295,153
6D,-150,Officer Assigned BWC,52.631578947368446,152
6D,-120,Control,32.67973856209147,153
6D,-120,Officer Assigned BWC,39.473684210526336,152
6D,-90,Control,58.823529411764646,153
6D,-90,Officer Assigned BWC,46.05263157894739,152
6D,-60,Control,19.607843137254886,153
6D,-60,Officer Assigned BWC,6.578947368421056,152
6D,-30,Control,52.28758169934636,153
6D,-30,Officer Assigned BWC,26.315789473684223,152
6D,0,Control,19.607843137254886,153
6D,0,Officer Assigned BWC,59.2105263157895,152
6D,30,Control,13.07189542483659,153
6D,30,Officer Assigned BWC,13.157894736842112,152
6D,60,Control,19.607843137254886,153
6D,60,Officer Assigned BWC,26.315789473684223,152
6D,90,Control,65.35947712418294,153
6D,90,Officer Assigned BWC,52.631578947368446,152
6D,120,Control,52.28758169934636,153
6D,120,Officer Assigned BWC,46.052631578947384,152
6D,150,Control,32.67973856209147,153
6D,150,Officer Assigned BWC,59.2105263157895,152
6D,180,Control,65.35947712418294,153
6D,180,Officer Assigned BWC,46.05263157894739,152
6D,210,Control,39.21568627450977,153
6D,210,Officer Assigned BWC,52.631578947368446,152
7D,-390,Control,0,99
7D,-390,Officer Assigned BWC,0,159
