district,relative_month,Z,use_of_force_1000,n_officers
5D,390,Officer Assigned BWC,96.38554216867496,166
5D,420,Control,63.29113924050646,79
5D,420,Officer Assigned BWC,150.6024096385546,166
5D,450,Control,88.60759493670903,79
5D,450,Officer Assigned BWC,108.43373493975932,166
5D,480,Control,113.92405063291164,79
5D,480,Officer Assigned BWC,108.43373493975932,166
5D,510,Control,12.658227848101294,79
5D,510,Officer Assigned BWC,60.24096385542184,166
6D,-660,Control,39.21568627450977,153
6D,-660,Officer Assigned BWC,111.84210526315793,152
6D,-630,Control,52.28758169934636,153
6D,-630,Officer Assigned BWC,26.315789473684223,152
6D,-600,Control,58.823529411764646,153
6D,-600,Officer Assigned BWC,19.736842105263165,152
6D,-570,Control,58.823529411764646,153
6D,-570,Officer Assigned BWC,65.78947368421056,152
6D,-540,Control,58.823529411764646,153
6D,-540,Officer Assigned BWC,26.315789473684223,152
6D,-510,Control,84.96732026143783,153
6D,-510,Officer Assigned BWC,46.05263157894739,152
6D,-480,Control,52.28758169934636,153
6D,-480,Officer Assigned BWC,105.26315789473689,152
6D,-450,Control,52.28758169934636,153
6D,-450,Officer Assigned BWC,59.2105263157895,152
6D,-420,Control,84.96732026143783,153
6D,-420,Officer Assigned BWC,98.68421052631585,152
6D,-390,Control,98.03921568627443,153
6D,-390,Officer Assigned BWC,92.10526315789478,152
6D,-360,Control,104.57516339869272,153
6D,-360,Officer Assigned BWC,92.10526315789478,152
6D,-330,Control,65.35947712418294,153
6D,-330,Officer Assigned BWC,59.2105263157895,152
6D,-300,Control,209.1503267973854,153
6D,-300,Officer Assigned BWC,72.3684210526316,152
6D,-270,Control,91.50326797385614,153
6D,-270,Officer Assigned BWC,59.2105263157895,152
6D,-240,Control,52.28758169934636,153
6D,-240,Officer Assigned BWC,19.736842105263165,152
6D,-210,Control,78.43137254901954,153
6D,-210,Officer Assigned BWC,59.2105263157895,152
6D,-180,Control,78.43137254901954,153
6D,-180,Officer Assigned BWC,78.94736842105266,152
6D,-150,Control,32.67973856209147,153
6D,-150,Officer Assigned BWC,19.736842105263165,152
6D,-120,Control,111.11111111111101,153
6D,-120,Officer Assigned BWC,39.473684210526336,152
6D,-90,Control,32.67973856209147,153
6D,-90,Officer Assigned BWC,65.78947368421056,152
6D,-60,Control,45.75163398692807,153
6D,-60,Officer Assigned BWC,65.78947368421056,152
6D,-30,Control,32.67973856209147,153
6D,-30,Officer Assigned BWC,65.78947368421056,152
6D,0,Control,163.39869281045733,153
6D,0,Officer Assigned BWC,85.52631578947373,152
6D,30,Control,45.75163398692807,153
6D,30,Officer Assigned BWC,59.2105263157895,152
6D,60,Control,65.35947712418294,153
6D,60,Officer Assigned BWC,65.78947368421056,152
6D,90,Control,78.43137254901954,153
6D,90,Officer Assigned BWC,52.631578947368446,152
6D,120,Control,117.64705882352929,153
6D,120,Officer Assigned BWC,65.78947368421056,152
6D,150,Control,58.823529411764646,153
6D,150,Officer Assigned BWC,184.21052631578948,152
6D,180,Control,58.823529411764646,153
6D,180,Officer Assigned BWC,85.52631578947373,152
6D,210,Control,84.96732026143783,153
6D,210,Officer Assigned BWC,59.2105263157895,152
7D,-390,Control,0,99
7D,-390,Officer Assigned BWC,0,159
7D,-360,Control,40.40404040404048,99
7D,-360,Officer Assigned BWC,62.89308176100604,159
7D,-330,Control,60.6060606060607,99
7D,-330,Officer Assigned BWC,44.025157232704224,159
7D,-300,Control,40.40404040404048,99
7D,-300,Officer Assigned BWC,31.446540880503026,159
7D,-270,Control,131.31313131313152,99
7D,-270,Officer Assigned BWC,56.60377358490545,159
7D,-240,Control,40.40404040404048,99
7D,-240,Officer Assigned BWC,12.578616352201212,159
7D,-210,Control,60.6060606060607,99
7D,-210,Officer Assigned BWC,31.446540880503026,159
7D,-180,Control,30.303030303030354,99
7D,-180,Officer Assigned BWC,75.47169811320725,159
7D,-150,Control,30.303030303030354,99
7D,-150,Officer Assigned BWC,25.157232704402425,159
7D,-120,Control,20.20202020202024,99
7D,-120,Officer Assigned BWC,18.867924528301817,159
7D,-90,Control,90.90909090909106,99
7D,-90,Officer Assigned BWC,88.05031446540843,159
7D,-60,Control,70.70707070707083,99
7D,-60,Officer Assigned BWC,81.76100628930786,159
7D,-30,Control,50.50505050505059,99
7D,-30,Officer Assigned BWC,31.446540880503026,159
7D,0,Control,70.70707070707083,99
7D,0,Officer Assigned BWC,31.446540880503026,159
7D,30,Control,90.90909090909106,99
7D,30,Officer Assigned BWC,44.025157232704224,159
7D,60,Control,10.10101010101012,99
7D,60,Officer Assigned BWC,18.867924528301817,159
7D,90,Control,80.80808080808096,99
7D,90,Officer Assigned BWC,75.47169811320724,159
7D,120,Control,111.1111111111113,99
7D,120,Officer Assigned BWC,94.33962264150908,159
7D,150,Control,80.80808080808096,99
7D,150,Officer Assigned BWC,75.47169811320724,159
7D,180,Control,60.6060606060607,99
7D,180,Officer Assigned BWC,75.47169811320725,159
7D,210,Control,50.50505050505059,99
7D,210,Officer Assigned BWC,88.05031446540845,159
7D,240,Control,70.70707070707083,99
7D,240,Officer Assigned BWC,50.314465408804836,159
7D,270,Control,141.41414141414165,99
7D,270,Officer Assigned BWC,81.76100628930787,159
7D,300,Control,50.50505050505059,99
7D,300,Officer Assigned BWC,81.76100628930786,159
7D,330,Control,191.9191919191923,99
7D,330,Officer Assigned BWC,94.33962264150907,159
7D,360,Control,111.1111111111113,99
7D,360,Officer Assigned BWC,62.89308176100605,159
7D,390,Control,121.2121212121214,99
7D,390,Officer Assigned BWC,75.47169811320725,159
7D,420,Control,80.80808080808096,99
7D,420,Officer Assigned BWC,44.025157232704224,159
7D,450,Control,141.41414141414165,99
7D,450,Officer Assigned BWC,100.62893081760967,159
7D,480,Control,151.51515151515176,99
7D,480,Officer Assigned BWC,125.7861635220121,159
7D,510,Control,111.1111111111113,99
7D,510,Officer Assigned BWC,69.18238993710666,159
